ID,Se_Ini,THETAs,THETAr,SIGMA,Hkg[mm],Ks[mm/s],Hvg[mm],N[-],Km,RingRadius[mm],TransStead_Obs[mm],NSE,NSE_Hse,NSE_Kunsat,S_Kg,S_Vg,TransStead_Mod[mm]
25,0.4,0.48,0,2.95,89280.77482,0.146877256,1158.667822,1.178085712,1,50,136.3585599,0.923657506,0.975134547,0.872180465,1.829466031,2.206311638,136.3585599
26,0.4,0.48,0,3.325,349739.4535,0.135566869,909.6431218,1.134207348,1,50,91.82290768,0.883626426,0.953700221,0.81355263,1.385663578,1.578063162,91.82290768
27,0.4,0.48,0,3.7,1436586.307,0.124827454,629.8640688,1.10246822,1,50,52.83518049,0.852880363,0.923667337,0.782093389,0.967833017,1.032413098,52.83518049
28,0.6,0.48,0,0.7,94.29705227,0.221119769,92.21748746,2.8,1,50,58.20602636,0.997655732,0.997132243,0.998179221,1.649895562,1.737317485,58.20602636
29,0.6,0.48,0,1.075,239.1929869,0.208987186,171.5038023,2.159149583,1,50,79.01452911,0.996452181,0.998737879,0.994166482,1.916630086,2.073448873,79.01452911
30,0.6,0.48,0,1.45,674.2211553,0.19633905,324.5277346,1.730042713,1,50,100.8665756,0.992911147,0.99833903,0.987483265,2.08152022,2.341120941,100.8665756
31,0.6,0.48,0,1.825,2069.267909,0.183584888,588.0549381,1.491357486,1,50,118.063997,0.985623916,0.997081118,0.974166715,2.1222212,2.501707031,118.063997
32,0.6,0.48,0,2.2,6827.034844,0.170983841,936.6767221,1.34204531,1,50,123.1756216,0.973545008,0.994274002,0.952816014,2.023123515,2.476070217,123.1756216
33,0.6,0.48,0,2.575,23997.90078,0.158708936,1188.898382,1.243433124,1,50,112.4145591,0.95471416,0.987973531,0.921454789,1.794762104,2.218430391,112.4145591
34,0.6,0.48,0,2.95,89280.77482,0.146877256,1158.670179,1.178085533,1,50,88.71972084,0.923657802,0.975134473,0.87218113,1.475669943,1.77708203,88.71972084
35,0.6,0.48,0,3.325,349739.4535,0.135566869,909.6578717,1.13420624,1,50,60.09233236,0.883628457,0.953699714,0.813557201,1.120963415,1.275630177,60.09233236
36,0.6,0.48,0,3.7,1436586.307,0.124827454,629.8744899,1.102467318,1,50,34.74032196,0.852881657,0.923667014,0.7820963,0.784794099,0.836480229,34.74032196
37,0.8,0.48,0,0.7,94.29705227,0.221119769,92.21748746,2.8,1,50,40.18959017,0.997655732,0.997132243,0.998179221,1.081350344,1.131462874,40.18959017
38,0.8,0.48,0,1.075,239.1929869,0.208987186,171.5049928,2.159131419,1,50,43.41931532,0.996452918,0.998737695,0.994168141,1.250474235,1.342035697,43.41931532
39,0.8,0.48,0,1.45,674.2211553,0.19633905,324.5343127,1.73002526,1,50,48.41360886,0.99291317,0.998338524,0.987487817,1.361148917,1.512736114,48.41360886
40,0.8,0.48,0,1.825,2069.267909,0.183584888,588.050827,1.491360149,1,50,53.44742537,0.985623144,0.997081311,0.974164978,1.397723812,1.619726771,53.44742537
41,0.8,0.48,0,2.2,6827.034844,0.170983841,936.6816373,1.342044259,1,50,55.18799764,0.973545661,0.994273839,0.952817483,1.345687675,1.615761185,55.18799764
42,0.8,0.48,0,2.575,23997.90078,0.158708936,1188.892202,1.243433765,1,50,50.97016079,0.954713442,0.987973711,0.921453173,1.206752293,1.469367497,50.97016079
43,0.8,0.48,0,2.95,89280.77482,0.146877256,1158.667183,1.178085759,1,50,40.97590533,0.923657428,0.975134566,0.87218029,1.002602048,1.196827546,40.97590533
44,0.8,0.48,0,3.325,349739.4535,0.135566869,909.6567539,1.134206324,1,50,28.26128752,0.883628304,0.953699752,0.813556855,0.76870873,0.870220313,28.26128752
45,0.8,0.48,0,3.7,1436586.307,0.124827454,629.8655769,1.10246809,1,50,16.59351591,0.85288055,0.92366729,0.782093811,0.542383268,0.575650863,16.59351591
