Id,Se_Ini,THETAs,THETAr,Ks,N,Hvg,Km,Sigma,Hkg,Err_Ks_BestG_Kg,Err_Ks_BestG_Vg,Err_Ks_BestGi_Kg,Err_Ks_BestGi_Vg,Err_Ks_Qe_Kg,Err_Ks_Qe_Vg,Err_Qe,Err_Sorpt_BestG_Kg,Err_Sorpt_BestG_Vg,Err_Sorpt_BestGi_Kg,Err_Sorpt_BestGi_Vg,Err_Sorpt_Qe_Kg,Err_Sorpt_Qe_Vg,Hkg_Qe,Hvg_BestG,Hvg_BestGi,Hvg_Qe,Hkg_BestG,Kr_THETAini_Vg,Ks_BestG_Kg,Ks_BestG_Vg,Ks_BestGi_Kg,Ks_BestGi_Vg,Ks_Qe_Kg,Ks_Qe_Vg,N_BestG,N_BestGi,N_Qe,NSE_Hydro_Inf_BestG_Kg,NSE_Hydro_Inf_BestG_Vg,NSE_Hydro_Inf_BestG_Vg,NSE_Hydro_Inf_BestGi_Kg,NSE_Hydro_Inf_BestGi_Vg,NSE_Hydro_Inf_Qe_Kg,NSE_Hydro_Inf_Qe_Vg,NSE_Inf_BestG_Vg,NSE_Inf_BestGi_Kg,NSE_Inf_BestGi_Kg,NSE_Inf_BestGi_Vg,NSE_Inf_Qe_Kg,NSE_Inf_Qe_Vg,NSE_BestGi_Kg,NSE_BestGi_Vg,NSE_BestG_Kg,NSE_BestG_Vg,NSE_Qe_Kg,NSE_Qe_Vg,Sorpt_BestG_Kg,Sorpt_BestGi_Kg,Sorpt_BestGi_Vg,Sorpt_Hydro_Kg,Sorpt_Hydro_Vg,Sorpt_Qe_Kg,Time_TransStead_BestG_Vg,Time_TransStead_Hydro_Kg,Time_TransStead_Hydro_Vg,Hkg_BestGi,NSE_Hydro_Inf_BestGi_Vg,NSE_Inf_BestG_Kg,Sorpt_BestG_Kg,Sigma_BestG,Sigma_BestGi,Sigma_Qe
4.0,0.0,0.32999999999999996,0.0,0.012,2.21,303.03,1.0,0.98489779,485.8352136,0.505554889056801,0.22020785928381859,0.5055817970212919,0.22022882913566488,0.2635318672897039,0.6234894733939047,0.041673652497154476,0.9979383459818078,0.9679081726075598,0.9979398219050398,0.9679096737194626,0.9681921332883516,0.9868147290028885,2488.95370230533,223.18310919946737,170.11486705564369,192.70219345145063,3074.10430639419,0.0,0.017933341331318388,0.021357505688594177,0.017933018435744498,0.02135725405037202,0.020837617592523554,0.016518126319273144,1.759149153329992,2.094252268690221,2.4536532118465275,0.9990365645471759,0.999597889400907,0.999597889400907,0.9990365645471759,0.999597889400907,0.9992019529704711,0.9996969992033071,0.9995593876677316,0.9998076837437692,0.9998076837437692,0.9995594127144377,0.9992697719664626,0.999779272589262,-1.5976258989990106,0.8878874550082567,-1.5975816679431367,0.829623688480768,-1.1826147495771515,0.8305579822543045,1.0135059891384974,1.0135074880858435,0.993826757899588,1.0155998045564365,1.02677634585522,0.9832957413407293,1.08038046e-316,6295.4282410587875,6434.7513696765,3074.16877266471,0.999597889400907,0.9998076708187518,1.0135059891384974,1.8846152655472892,1.8846152655472892,1.8844451399038173
5.0,0.0,0.352,0.0,0.00288,1.56,278.0,1.0,1.603598489,1001.729235,0.7943839743978517,0.9402154009285181,0.7943776361839734,0.9402240991300834,0.8974838697458101,0.747683135668483,0.052805960601526744,0.9874494551863722,0.979221510148213,0.9874487169890976,0.9792204464901447,0.9902180191862467,0.9955761753804973,2488.953560053176,208.76419934117683,132.61952491584657,199.57785374444495,2943.8193230015845,0.0,0.002287825846265813,0.002707820354674132,0.0022878075922098434,0.0027078454054946404,0.0025847535448679333,0.002153327430725231,1.7901142630543094,2.579862495135484,2.2179040804467856,0.9994640671843058,0.998940606269924,0.998940606269924,0.9994640671843058,0.998940606269924,0.999003698401729,0.9981174668054192,0.9995171122005317,0.9997122256688947,0.9997122256688947,0.9995170978558865,0.999410911927163,0.9996888140278535,0.7043169155192546,0.20645105823880572,0.7037324206480655,0.8499471820992237,0.7771281176636597,0.5591713656007007,0.3657378815874402,0.3657381482276675,0.3592915399794064,0.3612045674764401,0.3669158883142484,0.3576712713275455,1.05942575e-316,13824.965113093278,14265.618758459505,2940.785627346666,0.998940606269924,0.9997122193394641,0.3657378815874402,1.8848334185197504,1.8845001104368169,1.884445121594296
6.0,0.0,0.13999999999999996,0.0,0.00936,1.53,196.078,1.0,1.653746361,770.5191115,0.9035308817390686,0.8982001933453647,0.5325140049807388,0.5809358697385487,0.9448600788820889,0.9448600789462861,0.05332770822112748,0.8801597220762909,0.8722984683428467,0.8453923376955743,0.9207537291885797,0.859605320003362,0.8471845096582735,156248.0414548866,75.80405306662084,58.268983505463346,65.52961383305694,299999.9172359327,0.0,0.008457049053077682,0.008407153809712613,0.013735668913380286,0.013282440259247184,0.008843890338336352,0.008843890338937238,2.4928636915751277,2.2813281379934947,2.601869445239475,0.9822911628446576,0.979071168959299,0.979071168959299,0.9805433339115555,0.9813121144014777,0.9825595964010321,0.9793827092389301,0.9531094032189598,0.9996272623660423,0.9996272623660423,0.9979790939546433,0.999817058753138,0.9998170587247674,-8.836530888147923,0.0713005330723454,-9.060532910201927,0.11662931815114036,-6.124830789782733,-0.009835498578106616,0.2957687945460564,0.2840855657980445,0.31394634771352076,0.3360399108565657,0.34096668605424824,0.2888616951057594,1.06091586e-316,1132.8504381899718,1166.3120227020308,299999.9172359327,0.9813121144014777,0.9527223496569971,0.2957687945460564,3.5185364886239587,3.5185364886239587,3.1053554095092437
8.0,0.0,0.33,0.0,0.0835,1.46,52.083,1.0,1.785777829,260.8859344,0.7780876759868967,0.7060370571758684,0.9859473825222693,0.9634064543456886,0.3921631483301057,0.13408848860818323,0.053843197208947806,0.8289974571017749,0.7016188926378051,0.7548003409725523,0.5946357534017068,0.33613806071771934,0.09541649571711797,2488.953701412669,360.7180435214593,41.4955590908703,571.1328822666122,299999.9172359327,0.0,0.06497032094490587,0.058954094274185014,0.08232660644060949,0.080444438937865,0.032745622885563826,0.011196388798783305,1.1981602144866896,2.533822244624172,2.4182804483527516,0.9931656438976716,0.992769631332295,0.992769631332295,0.9996109121419319,0.9995128154678197,0.9585732359258399,0.9597338762796834,0.9767068056670709,0.992218104351816,0.992218104351816,0.9813923797862143,0.9717405972392258,0.9510032286414871,-9.650898612378295,0.2542712202473691,-9.748293181342925,-Inf,0.15310481983497337,0.600490904666694,0.8675156238504684,0.9224831880774766,1.0525660373039005,0.7408315456799708,0.7489631530413938,1.2326414122765657,1.05605504e-316,69.18445684890281,70.71157425311273,299999.9172359327,0.9995128154678197,0.9855661389898781,0.8675156238504684,3.5185364886239587,3.5185364886239587,1.884445139788921
9.0,0.0,0.42600000000000005,0.0,0.000695,1.37,625.0,1.0,1.996444099,4841.225167,0.32269492580511516,0.4386144045981064,0.3226940409834379,0.43861242578420956,0.8041096004104944,0.3959649533445091,0.05466628575701553,0.9890415658123658,0.9986400051638461,0.9890414667633052,0.9986398726610061,0.9380093229206403,0.9960861333817989,2488.9538001459223,616.5351525888428,822.5558398205442,520.0626920079413,10715.596799183735,0.0,0.00022427297343455505,0.00030483701119568394,0.00022427235848348934,0.00030483563592002567,0.0008311438277147064,0.0002751956425744338,1.8864378743270425,1.627591090346946,2.3473846687732602,0.9978782880137693,0.9978165491347601,0.9978165491347601,0.9978782880137693,0.9978165491347601,0.9975058914160205,0.9974380373989435,0.9995359538787262,0.999624053911768,0.999624053911768,0.9995359553282287,0.9980023355784715,0.9995625216046852,0.9110990257083006,0.8156050336219847,0.9113992116868352,0.5381989399333056,0.9330478438267493,0.22849856924281325,0.2404762513340976,0.2404762748948554,0.23837637636614195,0.23786957327017577,0.23805259452421113,0.2231238773665792,1.0560021e-316,102955.77937170441,103114.27248795355,10730.22852151085,0.9978165491347601,0.9996240530108018,0.2404762513340976,1.884480599531672,1.8849167455404838,1.8844451524970491
11.0,0.0,0.37,0.0,0.00452,1.18,384.615,1.0,2.744735173,26151.11618,0.5969864133936937,0.8329800045359178,0.9617717789789354,0.9517251773495192,0.6954366872198798,0.6954374221548175,0.057517445121208405,0.8043268546657738,0.7779961705970283,0.7318734166346815,0.8308620526828263,0.7577286311944627,0.8714234226190619,300000.0,34.4666982796903,41.34807353376499,47.920535680345125,299999.9172359327,0.0,0.0026983785885394958,0.003765069620502348,0.004692791559015212,0.004738202198380173,0.003143373826233857,0.003143377148139775,2.378311944348641,1.8983662325101966,2.5933996975814204,0.8607609470391646,0.9353865845394717,0.9353865845394717,0.9314054853855668,0.9834799547011763,0.8628398758745637,0.9373290860718925,0.9736841204701285,0.9975958270947289,0.9975958270947289,0.9973624195607547,0.9980704726726654,0.9980704618266366,0.22981449271595156,NaN,0.1615772750003756,NaN,0.38659743203771546,NaN,0.2537942764181228,0.23093259055939644,0.2279619824089452,0.31553624617393045,0.27436802736731497,0.2390908479056113,1.05605504e-316,4283.158957543322,3238.416359881087,299999.9172359327,0.9834799547011763,0.9936686568638923,0.2537942764181228,3.5185364886239587,3.5185364886239587,3.2983086724279107
