Se,Diff,Kunsat,H,DθDh
0.0001,1.5662891284361506e-12,1.1788456522823834e-25,7.089974649256971e8,7.526360432951436e-14
0.0011008008008008008,3.598469188276263e-10,1.5287723035302823e-21,1.166767912811221e8,4.248396258361723e-12
0.0021016016016016017,1.6545382962691435e-9,2.1895756382336517e-20,6.755394188101792e7,1.3233756167330645e-11
0.0031024024024024024,4.21307139616958e-9,1.1195490132936746e-19,4.783753869926255e7,2.657322670371883e-11
0.004103203203203203,8.309381243247758e-9,3.6663216914497683e-19,3.7029963521883674e7,4.412267994598321e-11
0.005104004004004004,1.4193422443241508e-8,9.34258685605626e-19,3.016084096186533e7,6.582335510280627e-11
0.0061048048048048045,2.210121684701394e-8,2.0256827399986484e-18,2.5394144964310218e7,9.165480588786383e-11
0.007105605605605606,3.2259788951142115e-8,3.923352996441032e-18,2.1887099715210356e7,1.216174415270665e-10
0.008106406406406407,4.4890022161345517e-8,6.990469691915415e-18,1.919644341206507e7,1.5572435377264884e-10
0.009107207207207207,6.020848418804322e-8,1.1680261304819607e-17,1.7066005434561208e7,1.9399693352750417e-10
0.010108008008008007,7.842867532987132e-8,1.854542462873112e-17,1.533709560404864e7,2.364622958468824e-10
0.01110880880880881,9.976192550029651e-8,2.8247755267040227e-17,1.3906015332918208e7,2.831516645792514e-10
0.01210960960960961,1.2441806388933704e-7,4.156798896461521e-17,1.2702062409082307e7,3.3409930732877845e-10
0.01311041041041041,1.526059343095446e-7,5.941586996840875e-17,1.1675335378864817e7,3.8934180533169896e-10
0.014111211211211212,1.8453380178004285e-7,8.284045978511662e-17,1.0789586995951882e7,4.4891753698251573e-10
0.015112012012012012,2.2040968006053234e-7,1.1304069775208546e-16,1.0017841160182804e7,5.128663029729024e-10
0.016112812812812814,2.604416002416746e-7,1.5137622345262628e-16,9.339599969345246e6,5.812290483246839e-10
0.017113613613613615,3.048378344238164e-7,1.9937847000390464e-16,8.73900510345297e6,6.540476525191047e-10
0.018114414414414415,3.5380708453643245e-7,2.5876203650796976e-16,8.203592974893648e6,7.313647685913546e-10
0.019115215215215215,4.0755864366382875e-7,3.31436347407963e-16,7.723431002151223e6,8.132236981369126e-10
0.020116016016016015,4.6630253538069903e-7,4.19517606080837e-16,7.290505273712319e6,8.99668293114328e-10
0.021116816816816816,5.302496352813247e-7,5.25341049689592e-16,6.898278062246431e6,9.907428779481792e-10
0.022117617617617616,5.996117779317325e-7,6.514735120871463e-16,6.54136257439419e6,1.0864921872187078e-9
0.02311841841841842,6.746018517714925e-7,8.007263013924485e-16,6.215280181473961e6,1.1869613154629734e-9
0.02411921921921922,7.554338839664985e-7,9.761683987344377e-16,5.916276686731645e6,1.2921956764885175e-9
0.02512002002002002,8.423231168153399e-7,1.181139984570768e-15,5.641181511986453e6,1.4022409702305558e-9
0.02612082082082082,9.354860770056488e-7,1.4192662989289574e-15,5.387298531841547e6,1.5171431556435524e-9
0.02712162162162162,1.0351406387785466e-6,1.6944718418814967e-15,5.152320548016869e6,1.6369484284579559e-9
0.02812242242242242,1.1415060818723407e-6,2.0109949205505427e-15,4.934261633372122e6,1.7617032028879198e-9
0.029123223223223225,1.2548031449678675e-6,2.3734025489364015e-15,4.731403132234317e6,1.8914540965684133e-9
0.030124024024024025,1.375254075239107e-6,2.7866057068772986e-15,4.542250203048311e6,2.0262479181476402e-9
0.031124824824824825,1.5030826745165144e-6,3.2558749644709028e-15,4.365496575970729e6,2.1661316570748153e-9
0.032125625625625626,1.6385143424926054e-6,3.786856478322178e-15,4.199995767758405e6,2.3111524752120186e-9
0.03312642642642643,1.7817761173348024e-6,4.385588366021754e-15,4.04473741367045e6,2.4613576999683657e-9
0.034127227227227226,1.933096714018413e-6,5.058517465309944e-15,3.8988276851062593e6,2.616794818710638e-9
0.03512802802802803,2.0927065606479975e-6,5.81251648443238e-15,3.761472992749187e6,2.7775114742472825e-9
0.03612882882882883,2.260837832999234e-6,6.654901550255736e-15,3.6319663493437353e6,2.943555461219138e-9
0.03712962962962963,2.4377244874825136e-6,7.593450160775317e-15,3.509675898960786e6,3.1149747232580924e-9
0.03813043043043043,2.623602292703462e-6,8.636419548714872e-15,3.3940352214646903e6,3.291817350798077e-9
0.03913123123123123,2.8187088597737047e-6,9.79256546299209e-15,3.2845350996684385e6,3.4741315794417555e-9
0.040132032032032035,3.023283671506086e-6,1.1071161374897848e-14,3.1807164980234657e6,3.6619657888016217e-9
0.04113283283283283,3.2375681106133745e-6,1.2482018115919968e-14,3.08216454981481e6,3.85536850174719e-9
0.042133633633633635,3.461805487014313e-6,1.4035503954219086e-14,2.988503387820646e6,4.054388384000229e-9
0.04313443443443443,3.6962410643406633e-6,1.5742565116854553e-14,2.899391683566155e6,4.259074244028701e-9
0.044135235235235236,3.941122085726965e-6,1.7614746764942675e-14,2.814518784403424e6,4.469475033198198e-9
0.04513603603603603,4.196697798957235e-6,1.9664214429020467e-14,2.7336013570102565e6,4.685639846144387e-9
0.046136836836836836,4.463219481033786e-6,2.1903775911979625e-14,2.6563804615338366e6,4.907617921336505e-9
0.04713763763763764,4.740940462227785e-6,2.43469036670337e-14,2.582618993293079e6,5.135458641805639e-9
0.04813843843843844,5.030116149663953e-6,2.700775765827103e-14,2.5120994392995434e6,5.369211536014996e-9
0.04913923923923924,5.331004050487744e-6,2.990120871145285e-14,2.444621905331552e6,5.6089262788530685e-9
0.05014004004004004,5.643863794657758e-6,3.304286236281108e-14,2.380002376269043e6,5.854652692732955e-9
0.05114084084084084,5.968957157402628e-6,3.644908321370577e-14,2.318071178157383e6,6.106440748783405e-9
0.052141641641641645,6.3065480813778545e-6,4.0137019799103475e-14,2.2586716152468864e6,6.36434056811858e-9
