Se,Diff,Kunsat,H,DθDh
0.0001,8.430881011127877e-8,1.0038558192627421e-14,1650.7151913636137,1.1906891082174662e-7
0.0011008008008008008,5.765109096517819e-6,1.0616211833725138e-11,991.4898742185093,1.8414589656486172e-6
0.0021016016016016017,1.8435383814085256e-5,7.144721567909666e-11,849.652879135514,3.875548043893102e-6
0.0031024024024024024,3.7363257447020206e-5,2.269858334265598e-10,770.7258629780226,6.075108246341149e-6
0.004103203203203203,6.224596264768965e-5,5.224991963351135e-10,716.9379377892649,8.394105803977099e-6
0.005104004004004004,9.29094136675802e-5,1.0041901698361005e-9,676.5626979796206,1.0808271521645632e-5
0.0061048048048048045,0.00012924097738829912,1.7192038474155147e-9,644.4697389210625,1.3302312332800134e-5
0.007105605605605606,0.0001711632716706073,2.7156076301966228e-9,617.9715368640133,1.5865597821842497e-5
0.008106406406406407,0.0002186213948785584,4.042365933885697e-9,595.4909696651949,1.8490257717599795e-5
0.009107207207207207,0.0002715758250880377,5.749315075082227e-9,576.0266504375392,2.1170201998717858e-5
0.010108008008008007,0.00032999810587286106,7.887139925561523e-9,558.9047005615005,2.3900561200797362e-5
0.01110880880880881,0.00039386805120023455,1.0507352695368618e-8,543.6508871425826,2.66773419762013e-5
0.01210960960960961,0.0004631718437595274,1.3662273796421846e-8,529.9193985116488,2.9497202777971788e-5
0.01311041041041041,0.0005379006902687723,1.740501460789865e-8,517.4506616546696,3.23573011204018e-5
0.014111211211211212,0.0006180498404542344,2.178946193554082e-8,506.04509454325324,3.525518576224646e-5
0.015112012012012012,0.0007036178526134424,2.687026396487824e-8,495.5460949985402,3.818871830081375e-5
0.016112812812812814,0.0007946060316980666,3.270281752848377e-8,485.82863244923897,4.115601470907302e-5
0.017113613613613615,0.0008910179913424039,3.934325653003275e-8,476.7913711726103,4.4155400802579046e-5
0.018114414414414415,0.0009928593069868053,4.684844138943556e-8,468.35109354809333,4.71853776862044e-5
0.019115215215215215,0.0011001372372842677,5.52759493923866e-8,460.43866435671436,5.024459450971542e-5
0.020116016016016015,0.0012128604975817987,6.468406584413294e-8,452.9960535159496,5.333182668006752e-5
0.021116816816816816,0.0013310390737250248,7.513177594122666e-8,445.9741018444065,5.644595821741285e-5
0.022117617617617616,0.0014546840675125747,8.667875728684805e-8,439.3308186717628,5.958596730564575e-5
0.02311841841841842,0.001583807567295801,9.93853729852355e-8,433.0300668082111,6.275091433925048e-5
0.02411921921921922,0.001718422538775772,1.1331266525918506e-7,427.04053408988034,6.593993194474192e-5
0.02512002002002002,0.0018585427321846728,1.2852234954169156e-7,421.334919963177,6.915221658133015e-5
0.02612082082082082,0.002004182602878746,1.4507680899884715e-7,415.88928552079057,7.238702141734157e-5
0.02712162162162162,0.002155357243000137,1.630390894462695e-7,410.6825292485314,7.564365024673507e-5
0.02812242242242242,0.0023120823223435603,1.824728946257334e-7,405.6959605057611,7.892145226073793e-5
0.029123223223223225,0.002474374036931026,2.0344258181247302e-7,400.91294974729226,8.221981752799327e-5
0.030124024024024025,0.0026422490640827167,2.260131577268599e-7,396.3186395590751,8.553817306595305e-5
0.031124824824824825,0.0028157245229957044,2.502502747270211e-7,391.899704297255,8.887597940894265e-5
0.032125625625625626,0.0029948179400181045,2.7622022726138394e-7,387.6441488799192,9.22327275960268e-5
0.03312642642642643,0.0031795472179469014,3.039899485622631e-7,383.5411393514504,9.560793651573937e-5
0.034127227227227226,0.0033699306087907888,3.336270075635715e-7,379.5808594083052,9.900115055582253e-5
0.03512802802802803,0.003565986689529746,3.6519960602721333e-7,375.7543882748254,0.00010241193751493586
0.03612882882882883,0.0037677343404778625,3.987765758643163e-7,372.05359624301934,0.00010583988674045935
0.03712962962962963,0.003975192725916625,4.3442737663868954e-7,368.47105490978544,0.00010928460746227505
0.03813043043043043,0.004188381276715237,4.7222209324097627e-7,364.99995970873226,0.00011274572729713833
0.03913123123123123,0.004407319674697207,5.12231433723091e-7,361.63406277853676,0.00011622289090211785
0.040132032032032035,0.0046320278385451365,5.545267272832826e-7,358.36761456308557,0.00011971575875879291
0.04113283283283283,0.004862525911066724,5.991799223931478e-7,355.19531282110233,0.00012322400607253563
0.042133633633633635,0.005098834247667025,6.462635850584597e-7,352.1122579501041,0.0001267473217734344
0.04313443443443443,0.0053409734058939215,6.958508972064267e-7,349.11391371325965,0.00013028540760726029
0.044135235235235236,0.005588964135940845,7.48015655192618e-7,346.19607260711774,0.00013383797730645076
0.04513603603603603,0.005842827372005068,8.028322684211774e-7,343.35482523030123,0.00013740475583239275
0.046136836836836836,0.006102584224412853,8.60375758072535e-7,340.5865331135541,0.00014098547868142107
0.04713763763763764,0.006368255972434007,9.207217559332808e-7,337.88780455430947,0.00014457989124789722
0.04813843843843844,0.006639864057716343,9.839465033231035e-7,335.2554730675403,0.0001481877482385556
0.04913923923923924,0.006917430078280437,1.050126850114247e-6,332.68657812177474,0.0001518088131329969
0.05014004004004004,0.007200975783020445,1.119340253839117e-6,330.17834787686866,0.0001554428576858247
0.05114084084084084,0.007490523066663429,1.1916647788820451e-6,327.72818368017545,0.00015908966146644003
0.052141641641641645,0.007786093965144995,1.2671790957514055e-6,325.3336461114795,0.00016274901143294992
0.05314244244244244,0.008087710651363851,1.3459624804287314e-6,322.9924423955399,0.00016642070153706078
0.054143243243243246,0.008395395431280584,1.4280948137913542e-6,320.7024150252696,0.000170104532357152
0.05514404404404404,0.008709170740331656,1.5136565811056696e-6,318.4615314591281,0.0001738003107570294
