Diff,Kunsat,H,DθDh,,Diff,Se
0.001030628,3.02E-10,149935.2905,2.93E-07,,0.001030628,0.26230981
0.001045012,3.09E-10,148677.8348,2.96E-07,,0.001045012,0.263310611
0.001059555,3.17E-10,147433.3327,2.99E-07,,0.001059555,0.264311411
0.001074259,3.25E-10,146201.6144,3.02E-07,,0.001074259,0.265312212
0.001089127,3.33E-10,144982.5133,3.05E-07,,0.001089127,0.266313013
0.001104158,3.41E-10,143775.8651,3.08E-07,,0.001104158,0.267313814
0.001119354,3.49E-10,142581.5083,3.12E-07,,0.001119354,0.268314615
0.001134718,3.57E-10,141399.284,3.15E-07,,0.001134718,0.269315415
0.00115025,3.66E-10,140229.036,3.18E-07,,0.00115025,0.270316216
0.001165952,3.75E-10,139070.6104,3.21E-07,,0.001165952,0.271317017
0.001181825,3.84E-10,137923.8558,3.25E-07,,0.001181825,0.272317818
0.001197871,3.93E-10,136788.6234,3.28E-07,,0.001197871,0.273318619
0.001214092,4.02E-10,135664.7664,3.31E-07,,0.001214092,0.274319419
0.001230489,4.12E-10,134552.1407,3.34E-07,,0.001230489,0.27532022
0.001247063,4.21E-10,133450.6043,3.38E-07,,0.001247063,0.276321021
0.001263817,4.31E-10,132360.0174,3.41E-07,,0.001263817,0.277321822
0.001280751,4.41E-10,131280.2424,3.45E-07,,0.001280751,0.278322623
0.001297867,4.52E-10,130211.144,3.48E-07,,0.001297867,0.279323423
0.001315167,4.62E-10,129152.5888,3.52E-07,,0.001315167,0.280324224
0.001332652,4.73E-10,128104.4455,3.55E-07,,0.001332652,0.281325025
0.001350325,4.84E-10,127066.585,3.59E-07,,0.001350325,0.282325826
0.001368186,4.95E-10,126038.88,3.62E-07,,0.001368186,0.283326627
0.001386237,5.07E-10,125021.2052,3.66E-07,,0.001386237,0.284327427
0.001404481,5.19E-10,124013.4374,3.69E-07,,0.001404481,0.285328228
0.001422918,5.31E-10,123015.4551,3.73E-07,,0.001422918,0.286329029
0.00144155,5.43E-10,122027.1385,3.76E-07,,0.00144155,0.28732983
0.00146038,5.55E-10,121048.37,3.80E-07,,0.00146038,0.288330631
0.001479408,5.68E-10,120079.0335,3.84E-07,,0.001479408,0.289331431
0.001498636,5.81E-10,119119.0147,3.88E-07,,0.001498636,0.290332232
0.001518067,5.94E-10,118168.2011,3.91E-07,,0.001518067,0.291333033
0.001537702,6.08E-10,117226.4818,3.95E-07,,0.001537702,0.292333834
0.001557542,6.21E-10,116293.7476,3.99E-07,,0.001557542,0.293334635
0.00157759,6.35E-10,115369.8909,4.03E-07,,0.00157759,0.294335435
0.001597847,6.50E-10,114454.8057,4.07E-07,,0.001597847,0.295336236
0.001618315,6.64E-10,113548.3876,4.10E-07,,0.001618315,0.296337037
0.001638996,6.79E-10,112650.5336,4.14E-07,,0.001638996,0.297337838
0.001659891,6.94E-10,111761.1426,4.18E-07,,0.001659891,0.298338639
0.001681003,7.10E-10,110880.1144,4.22E-07,,0.001681003,0.299339439
0.001702333,7.26E-10,110007.3508,4.26E-07,,0.001702333,0.30034024
0.001723884,7.42E-10,109142.7547,4.30E-07,,0.001723884,0.301341041
0.001745657,7.58E-10,108286.2305,4.34E-07,,0.001745657,0.302341842
0.001767654,7.75E-10,107437.6841,4.38E-07,,0.001767654,0.303342643
0.001789876,7.92E-10,106597.0226,4.43E-07,,0.001789876,0.304343443
0.001812327,8.10E-10,105764.1545,4.47E-07,,0.001812327,0.305344244
0.001835008,8.27E-10,104938.9896,4.51E-07,,0.001835008,0.306345045
0.00185792,8.45E-10,104121.439,4.55E-07,,0.00185792,0.307345846
0.001881066,8.64E-10,103311.4151,4.59E-07,,0.001881066,0.308346647
0.001904448,8.83E-10,102508.8316,4.64E-07,,0.001904448,0.309347447
0.001928067,9.02E-10,101713.6032,4.68E-07,,0.001928067,0.310348248
0.001951926,9.22E-10,100925.6459,4.72E-07,,0.001951926,0.311349049
0.001976027,9.41E-10,100144.8772,4.76E-07,,0.001976027,0.31234985
0.002000372,9.62E-10,99371.21519,4.81E-07,,0.002000372,0.313350651
0.002024963,9.83E-10,98604.5796,4.85E-07,,0.002024963,0.314351451
0.002049802,1.00E-09,97844.89104,4.90E-07,,0.002049802,0.315352252
0.002074891,1.03E-09,97092.07127,4.94E-07,,0.002074891,0.316353053
0.002100233,1.05E-09,96346.04317,4.99E-07,,0.002100233,0.317353854
0.002125829,1.07E-09,95606.73065,5.03E-07,,0.002125829,0.318354655
0.002151681,1.09E-09,94874.0587,5.08E-07,,0.002151681,0.319355455
0.002177792,1.12E-09,94147.95332,5.12E-07,,0.002177792,0.320356256
0.002204164,1.14E-09,93428.34155,5.17E-07,,0.002204164,0.321357057
0.002230799,1.16E-09,92715.15141,5.22E-07,,0.002230799,0.322357858
0.002257699,1.19E-09,92008.31193,5.26E-07,,0.002257699,0.323358659
0.002284867,1.21E-09,91307.75307,5.31E-07,,0.002284867,0.324359459
0.002312305,1.24E-09,90613.40577,5.36E-07,,0.002312305,0.32536026
0.002340014,1.26E-09,89925.20191,5.40E-07,,0.002340014,0.326361061
0.002367999,1.29E-09,89243.07426,5.45E-07,,0.002367999,0.327361862
0.002396259,1.32E-09,88566.95652,5.50E-07,,0.002396259,0.328362663
0.002424799,1.35E-09,87896.78329,5.55E-07,,0.002424799,0.329363463
0.00245362,1.37E-09,87232.49001,5.60E-07,,0.00245362,0.330364264
0.002482725,1.40E-09,86574.01303,5.65E-07,,0.002482725,0.331365065
0.002512117,1.43E-09,85921.28951,5.70E-07,,0.002512117,0.332365866
0.002541796,1.46E-09,85274.25746,5.75E-07,,0.002541796,0.333366667
0.002571767,1.49E-09,84632.85571,5.80E-07,,0.002571767,0.334367467
0.002602031,1.52E-09,83997.02391,5.85E-07,,0.002602031,0.335368268
0.00263259,1.55E-09,83366.70248,5.90E-07,,0.00263259,0.336369069
0.002663448,1.59E-09,82741.83266,5.95E-07,,0.002663448,0.33736987
0.002694607,1.62E-09,82122.35643,6.00E-07,,0.002694607,0.338370671
0.002726069,1.65E-09,81508.21654,6.06E-07,,0.002726069,0.339371471
0.002757837,1.68E-09,80899.35649,6.11E-07,,0.002757837,0.340372272
0.002789914,1.72E-09,80295.72052,6.16E-07,,0.002789914,0.341373073
0.002822301,1.75E-09,79697.25356,6.21E-07,,0.002822301,0.342373874
0.002855002,1.79E-09,79103.90131,6.27E-07,,0.002855002,0.343374675
0.002888019,1.83E-09,78515.61011,6.32E-07,,0.002888019,0.344375475
0.002921356,1.86E-09,77932.32705,6.38E-07,,0.002921356,0.345376276
0.002955013,1.90E-09,77353.99985,6.43E-07,,0.002955013,0.346377077
0.002988995,1.94E-09,76780.57692,6.49E-07,,0.002988995,0.347377878
0.003023304,1.98E-09,76212.00735,6.54E-07,,0.003023304,0.348378679
