Id,Se_Ini[-],THETAs,THETAr,Ks[cm/h],N,Hvg[cm],Km,Kr_THETAini_Vg[-],Sorptivity_Hydro_Vg[mm s-0.5],SIGMA[-],Hkg[mm],Sorptivity_Hydro_Kg[mm s-0.5],Time_TransStead_Hydro_Vg[min],Time_TransStead_Hydro_Kg[min],Sorptivity_BestSorpt_Kg[mm s-0.5],SIGMA_Best[-],Hkg_Best[-],Ks_Best_Kg[cm/h],N_Best[-],Hvg_Best[cm],Ks_Best_Vg[cm/h],Time_TransStead_Best_Vg[min],Sorptivity_Qe_Kg[mm s-0.5],Sigma_Qe[-],Hkg_Qe[cm],Ks_Qe_Kg[cm/h],N_Qe[-],Hvg_Qe[cm],Ks_Qe_Vg[cm/h],NSE_Hydro_Inf_BestSorpt_Kg,NSE_Hydro_Inf_Qe_Kg,NSE_Hydro_Inf_BestSorpt_Vg,NSE_Hydro_Inf_Qe_Vg,NSE_BestSorpt_Kg,NSE_BestSorpt_Vg,NSE_Qe_Kg,NSE_Qe_Vg,NSE_Inf_BestSorpt_Kg,NSE_Inf_BestSorpt_Vg,NSE_Inf_Qe_Kg,NSE_Inf_Qe_Vg
2.0,0.0,0.352,0.0,1.0368000000000002,1.56,2777.78,1.0,0.0,0.32678217294911954,1.603598489,1001.729235,0.33568231444242297,1.165438e-317,4.9809984e-317,0.3011910006909781,1.3647722476366968,260.13306579280066,1.6666758575504628,2.434049223684133,581.2671794253126,1.6666708284037097,1.72475e-318,0.3634961537934165,1.3388093070043074,7314.963417337881,0.8093937507433105,1.2926205113117017,967353.6793556769,0.022086287518673187,0.9797623504367685,0.9887202935592584,0.9595222791370903,0.973158398228563,0.5881331819799855,-0.1985599717275517,0.949299603504477,-6.992514289310806,0.9893651383412431,0.9893652478790949,NaN,NaN
3.0,0.0,0.42600000000000005,0.0,0.2502,1.37,6250.0,1.0,0.0,0.17570272157454053,1.996444099,4841.225167,0.19464146330558244,5.0757543e-317,4.980999e-317,0.18132473497566481,0.8405783102498143,73.54248934350832,0.6045537652078709,2.4764389863645957,471.6466506496281,0.6045554316921132,1.696646e-318,0.23826408009055286,1.6280484131102906,43105.88956389736,0.1080581852797371,1.4172216880148807,20215.028007619305,0.10805764360550399,0.8860567836008304,0.8956210065187908,0.7314787336924283,0.7479906295207494,-1.9079866917547215,-0.9305508247229575,0.9633039418201117,0.9492912521952557,0.9786801745012345,0.9786800371581753,NaN,NaN
4.0,0.0,0.13999999999999996,0.0,3.3696,1.53,1960.78,1.0,0.0,0.2985023152988138,1.653746361,770.5191115,0.3098397018426506,1.1289667e-317,4.9809994e-317,0.30980152782964254,2.2391165136851097,12399.756217872651,2.7997581894336667,2.376643654314063,943.7991433431228,2.7997596986752,1.73048e-318,0.2913067909458891,1.641142782441912,6951.7011577759195,3.1737343765791315,1.4905494736010894,2269.514895623796,3.1737284232321468,0.9672278537266527,0.9677741452634538,0.9857232559752694,0.9860036879669839,-0.6792762322149719,0.2832819559475617,0.9980258029300781,0.9840284230922831,0.9992741115168551,0.999274111957429,NaN,NaN
5.0,0.0,0.37,0.0,1.6272,1.18,3846.15,1.0,0.0,0.09914002561632107,2.744735173,26151.11618,0.045414300671463445,1.128989e-317,4.9809935e-317,0.21181291031115207,1.2111038062631494,103.65058641770587,1.3680521733231406,2.2790986216672735,358.18306854779,1.3680520636153048,1.81231e-318,0.23515850135155622,0.7141368990530887,611.8755385745116,1.1701858923375688,2.270211541721474,518.54576503518,1.1701853908769675,0.8189458479429202,0.8189442381741193,0.9022298072217073,0.9021143131026237,-1.8297867003682804,NaN,-2.6449313023957988,NaN,0.9918772820173297,0.9918772805306753,NaN,NaN
6.0,0.0,0.3,0.0,2.9448,1.24,1136.36,1.0,0.0,0.11416297612488231,2.437820913,2802.779917,0.09868598279437867,1.1289667e-317,4.980994e-317,0.25266261522641453,1.3212912018427947,156.47150023658585,2.055233646027487,2.2883097718633594,416.4264084801039,2.055237754103565,1.689937e-318,0.3681659321291974,0.7890576328422856,4318.284811755448,0.5569394039520369,2.239844746867318,3347.923352957001,0.556941404736683,0.989142480713828,0.9891425986920307,0.9837939998113124,0.9837919335420333,-0.1525628699592927,-0.32318114089324923,0.023302930709768133,0.1610642997941617,0.995016081300783,0.9950161315113231,NaN,NaN
7.0,0.0,0.3,0.0,25.128,1.46,591.72,1.0,0.0,0.5766345090935628,1.78577753,296.3762933,0.6162106660748224,1.176357e-317,4.9809944e-317,0.6035480787460915,1.3120958539644312,79.11627505251533,22.683903325388272,2.3671683495935043,207.2136242073655,22.683945017872595,1.691607e-318,0.6308358591223139,1.6182665904180626,2057.6685531511944,21.867507143734606,1.9286237963023374,411.3328284646941,22.075664172657397,0.9824953535545882,0.9826494551021762,0.9905740369211745,0.9906434608098045,0.6155216945750286,0.04883500993222267,0.966620413482079,0.5789197240905893,0.9971869705990084,0.9971868146689219,NaN,NaN
8.0,0.0,0.33,0.0,30.060000000000002,1.46,520.8299999999999,1.0,0.0,0.6205865660620502,1.785777829,260.8859344,0.6631998987630586,1.1290858e-317,4.9809944e-317,1.25227617668878,1.833160456754731,2606.8456580212573,12.741720141439256,2.4899110912601747,1369.2730863013335,12.749953659482312,1.68985e-318,1.487960064838595,1.0724741913469373,50939.379084594075,1.1494549706004504,2.2775862360079113,23604.045415687302,1.1495486856937798,0.9716904027340045,0.9717027621005313,0.980425399198971,0.9804311339796444,0.1463996531552496,0.5671791240948025,-0.4983578125167256,0.25054751647934703,0.9687173108980536,0.9687340152013677,NaN,NaN
9.0,0.0,0.43,0.0,10.799999999999999,2.25,1000.0,1.0,0.0,1.063754066169371,0.962608489,156.9465223,1.0143248893999794,1.176357e-317,4.9809964e-317,2.9402168195443696,1.2272650268267151,407.4101962949011,59.83850278651705,1.791684120120799,2032.228672228812,59.83988547026802,1.68931e-318,3.351233700590676,1.2726977362506515,13421.427853727964,26.194471725222918,2.7003058978610257,3405.106517818007,26.19804033127277,-0.4557729946057829,-0.4434403482598439,-0.41560221148485277,-0.40403049860589135,0.44142940810445785,0.277734821191552,-1.544114159140135,0.42344584721637857,0.991589721649576,0.9915892147428603,NaN,NaN
10.0,0.0,0.42,0.0,7.5600000000000005,2.24,1098.9,1.0,0.0,0.9195461717551002,0.968082296,173.3656132,0.8771473962711605,1.1289667e-317,4.9809964e-317,0.7878989585689505,1.0585888593944952,97.96255445532721,12.81043252562098,2.5466622530434186,414.98034211323295,12.81042936105569,1.73048e-318,0.9263616121977218,1.3476088407428541,3891.175444173025,8.463919192987134,2.5426207816829205,869.4851574006825,8.464215663161001,0.9761863181016374,0.9843098339017047,0.9939388794823141,0.9975146148434604,0.8189021197237747,0.40987586685873995,0.5135086810106695,0.9120734051128869,0.988900674490102,0.9889007146774258,NaN,NaN
11.0,0.0,0.32999999999999996,0.0,4.32,2.21,3030.2999999999997,1.0,0.0,1.0145680575300473,0.98489779,485.8352136,0.9688902739070626,1.1289716e-317,4.980997e-317,0.8625244146303156,1.9477365807085651,2154.4830666915996,11.521982914589277,2.571214474993351,697.5679295469673,11.521320981978027,1.689937e-318,1.0100211483328947,1.0608470208430296,4315.6351513124455,6.108959808067191,2.6888776997275414,1734.5585658729988,6.1089474245566935,0.974735717337484,0.9777466528249628,0.9952920493505737,0.9964957640085826,-0.9736994836203614,-0.21663785946300929,0.9889175203590419,0.6881119338300554,0.9907322146780468,0.990733038643061,NaN,NaN
