Id,Se_Ini[-],THETAs,THETAr,Ks[cm/h],N,Hvg[cm],Km,Kr_THETAini_Vg[-],Sorptivity_Hydro_Vg[mm s-0.5],SIGMA[-],Hkg[mm],Sorptivity_Hydro_Kg[mm s-0.5],Time_TransStead_Hydro_Vg[min],Time_TransStead_Hydro_Kg[min],Sorptivity_BestSorpt_Kg[mm s-0.5],SIGMA_Best[-],Hkg_Best[-],Ks_Best_Kg[cm/h],N_Best[-],Hvg_Best[cm],Ks_Best_Vg[cm/h],Time_TransStead_Best_Vg[min],Sorptivity_Qe_Kg[mm s-0.5],Sigma_Qe[-],Hkg_Qe[cm],Ks_Qe_Kg[cm/h],N_Qe[-],Hvg_Qe[cm],Ks_Qe_Vg[cm/h],NSE_Hydro_Inf_BestSorpt_Kg,NSE_Hydro_Inf_Qe_Kg,NSE_Hydro_Inf_BestSorpt_Vg,NSE_Hydro_Inf_Qe_Vg,NSE_BestSorpt_Kg,NSE_BestSorpt_Vg,NSE_Qe_Kg,NSE_Qe_Vg,NSE_Inf_BestSorpt_Kg,NSE_Inf_BestSorpt_Vg,NSE_Inf_Qe_Kg,NSE_Inf_Qe_Vg
2.0,0.0,0.352,0.0,1.0368000000000002,1.56,2777.78,1.0,0.0,0.3469193813288844,1.603598489,1001.729235,0.34791507113184544,4.9769303e-317,4.9769303e-317,0.30119037771596496,1.3526305082451733,240.45374026110332,1.6666885523896735,2.1790707416582213,648.8485198703189,1.6666895828024217,4.9769303e-317,0.3634962794599586,1.294370038100169,6277.824383376178,0.8093914412436778,1.9432812308735166,2289.334673758007,0.8093937936994929,0.9963872070583815,0.9992318069519077,0.9955334489744442,0.9988627749591871,0.5413383808404935,0.044928916306144484,0.9134166976932709,0.7673202751046979,0.9893649949482809,0.98936498590656,NaN,NaN
3.0,0.0,0.42600000000000005,0.0,0.2502,1.37,6250.0,1.0,0.0,0.19944215365238366,1.996444099,4841.225167,0.21244076372569773,4.9769313e-317,4.9769313e-317,0.18132472587396972,2.804381116699458,499172.80036893435,0.6045536365338486,2.4091392528110815,479.39511449230287,0.6045539708856499,4.9769313e-317,0.23826410423694516,1.0346264780895535,9601.696316474638,0.10805779360864826,2.1144846617589566,5377.280772033439,0.10805774689346893,0.974035574880254,0.9780417431344137,0.9155606204453578,0.9235444535919093,-2.0283881363962366,-0.8841210839307574,0.3596915199334472,0.3551743829520468,0.9786801605417897,0.9786801538231704,NaN,NaN
4.0,0.0,0.13999999999999996,0.0,3.3696,1.53,1960.78,1.0,0.0,0.31921845440414126,1.653746361,770.5191115,0.32234248085797473,4.9769317e-317,4.9769317e-317,0.3097996518705558,0.879208701731103,144.07991799646067,2.7997982076294434,2.7387582750284283,820.8323443084621,2.7997566893689685,4.9769317e-317,0.2913071016939753,1.5985650520536097,5685.464914936833,3.1737252314398305,2.522888442538544,3869.3183889556917,0.9600512804827587,0.9365537007937031,0.9375278083618493,0.9452810939829138,0.9461405681933703,0.20115836428317324,0.06175603797431739,0.9817672695820183,0.6600826982771067,0.9992741243701004,0.9992741107550479,NaN,NaN
5.0,0.0,0.37,0.0,1.6272,1.18,3846.15,1.0,0.0,0.13356894072036282,2.744735173,26151.11618,0.0744241199130708,4.9769273e-317,4.9769273e-317,0.21181306412526177,2.1969653067731447,2592.967755103427,1.3680510014254423,2.303570245549974,348.74318437014296,1.3680534526094161,4.9769273e-317,0.23515851551831668,1.3329630550787457,1894.1316503290673,1.1701856740934087,2.29805107839497,503.86038724969706,1.1701858496027535,0.8595288545088562,0.8594980823571154,0.9602795625758288,0.9599700078813856,0.5211185598127595,NaN,-1.2864628999530792,NaN,0.9918773299046202,0.991877243230728,NaN,NaN
6.0,0.0,0.3,0.0,2.9448,1.24,1136.36,1.0,0.0,0.1423141944085068,2.437820913,2802.779917,0.12431679554702679,4.9769273e-317,4.9769273e-317,0.2526616860485546,1.2296385707039215,120.90502824581054,2.055241552687129,1.9165669403398493,523.0709354650152,2.055244681310808,4.9769273e-317,0.36816597564623343,1.4981406681194704,18284.31920073603,0.556938575444243,2.4580586354904366,2987.1503045503237,0.5569376379789316,0.9788583598961045,0.9788568919832314,0.9665731097000061,0.9665722957819215,-0.3515698180845534,-0.051059435355031935,0.7727155440822677,0.07117329798098587,0.9950161860400457,0.9950162333052059,NaN,NaN
7.0,0.0,0.3,0.0,25.128,1.46,591.72,1.0,0.0,0.6298441915022382,1.78577753,296.3762933,0.649627407071494,4.976928e-317,4.976928e-317,0.6035465097356206,2.8512026343238577,270084.60008534754,22.683931659620875,1.6228925635054186,394.84478196004096,22.683935649363637,4.976928e-317,0.6308357835478399,1.81220746064166,3508.1845826103827,21.867508615437814,2.618544234487277,210.9627968603081,21.867498451743867,0.9730120160057351,0.9732110146476999,0.9789447758230396,0.9791161463021764,-7.185948418183502,0.8569797343881795,0.9941039308406832,-0.059987578700527344,0.9971868642669289,0.9971868501249064,NaN,NaN
8.0,0.0,0.33,0.0,30.060000000000002,1.46,520.8299999999999,1.0,0.0,0.6778519804042478,1.785777829,260.8859344,0.699164863547731,4.976928e-317,4.976928e-317,1.2518212580234434,0.7675752882694516,183.6157155237766,12.762598438646734,1.733725986835093,2301.079391328692,12.749814139233548,4.976928e-317,1.4879598875891633,1.7988412838548544,322719.9137197886,1.1494686070133546,2.5181502436416343,21002.92964490819,1.1499092193941511,0.9624481949905092,0.962467667383551,0.9681439788207743,0.9681600496925648,0.6110605243992127,0.8637199101392525,-2.8557127246269878,0.2829835844071449,0.9687595991923754,0.9687337339946974,NaN,NaN
9.0,0.0,0.43,0.0,10.799999999999999,2.25,1000.0,1.0,0.0,1.0722080280145434,0.962608489,156.9465223,1.034912415249654,4.9773463e-317,4.9769283e-317,2.9402537871312115,2.1779788845347583,8878.284379568238,59.83468599079459,2.654610457815118,1155.0862305747596,59.83756700318967,4.9769283e-317,3.351188312939264,1.6663559924028908,36216.05741061875,26.19965156121811,1.6504071632344226,6996.181016827588,26.198992694315166,-0.4390618404218205,-0.4270550115917504,-0.40871585036939173,-0.39726722555763616,-9.086781174450447,0.822822466073466,-4.722684314947582,-2.509616489029753,0.9915908415589308,0.9915899366250347,NaN,NaN
10.0,0.0,0.42,0.0,7.5600000000000005,2.24,1098.9,1.0,0.0,0.9270072817685164,0.968082296,173.3656132,0.8949323884476473,4.9773413e-317,4.9773413e-317,0.7879008437901449,1.1664230507573699,117.37838912987989,12.810363939272237,2.167083643471712,487.48205015302403,12.810354724373948,4.976929e-317,0.9263559785050124,1.5320523931445258,5963.815922039693,8.464155932833235,2.534473114067813,863.873295742304,8.464153004257113,0.9850279001573696,0.9912000677377415,0.995858178993822,0.998669413390775,0.8937169575434369,0.7376009444496447,-0.13698251093984015,0.9119969050647166,0.9889009287642173,0.988900958598032,NaN,NaN
11.0,0.0,0.32999999999999996,0.0,4.32,2.21,3030.2999999999997,1.0,0.0,1.023340090898579,0.98489779,485.8352136,0.9884857207471004,4.976929e-317,4.976929e-317,0.8625271469745914,1.8113949245285184,1128.4799407131172,11.521666186443069,2.20952250906352,807.3980173281489,11.521399839592885,4.976929e-317,1.0100214576670812,2.103908915363476,92509.77019668397,6.108947602827896,1.7708842211274634,2978.0977067984786,6.108708013814948,0.9854970865330867,0.9877172316808607,0.9973865905119201,0.9982572251318419,0.05876922464839285,0.23905463828993567,-4.8372541015371695,0.7643928725121228,0.9907322575517749,0.9907328580439307,NaN,NaN
