Id,Se_Ini[-],THETAs,THETAr,Ks[cm/h],N,Hvg[cm],Km,Kr_THETAini_Vg[-],Sorpt_Hydro_Vg[mm s-0.5],SIGMA[-],Hkg[mm],Sorpt_Hydro_Kg[mm s-0.5],Sorpt_Hydro_Vg[mm s-0.5],Time_TransStead_Hydro_Vg[min],Time_TransStead_Hydro_Kg[min],Sorpt_BestG_Kg[mm s-0.5],SIGMA_Best[-],Hkg_Best[-],Ks_Best_Kg[cm/h],N_Best[-],Hvg_Best[cm],Ks_Best_Vg[cm/h],Time_TransStead_Best_Vg[min],Sorpt_Qe_Kg[mm s-0.5],Sigma_Qe[-],Hkg_Qe[cm],Ks_Qe_Kg[cm/h],N_Qe[-],Hvg_Qe[cm],Ks_Qe_Vg[cm/h],NSE_Hydro_Inf_BestG_Kg,NSE_Hydro_Inf_BestGi_Kg,NSE_Hydro_Inf_Qe_Kg,NSE_Hydro_Inf_BestG_Vg,NSE_Hydro_Inf_BestGi_Vg,NSE_Hydro_Inf_Qe_Vg,NSE_BestG_Kg,NSE_BestG_Vg,NSE_Qe_Kg,NSE_Qe_Vg,NSE_Inf_BestG_Kg,NSE_Inf_BestG_Vg,NSE_Inf_Qe_Kg,NSE_Inf_Qe_Vg
2.0,0.0,0.352,0.0,1.0368000000000002,1.56,2777.78,1.0,0.0,0.3668149612624176,1.603598489,1001.729235,0.3612045674764401,0.3587332028888452,237.62952982222387,230.4160852182213,0.3587335025888986,1.0,256.2371543888051,0.9859592077503848,2.623487103349078,1283.9406439070226,0.9859668385526192,251.31293220621507,0.3576631427522543,1.8845195221661273,24895.317411128315,0.9304689584128766,2.053089502768083,2206.8243501023317,0.7702973991042475,0.9989827966220888,0.9989827966220888,0.9955600780058712,0.9950202824356862,0.9950202824356862,0.9890583347730802,0.44580025498327835,0.17868686817946383,0.7793786954151516,0.6891444182366107,0.9996095872239987,0.9996095770096993,0.9995275107688033,0.9997939308569316
3.0,0.0,0.42600000000000005,0.0,0.2502,1.37,6250.0,1.0,0.0,0.23806738737855043,1.996444099,4841.225167,0.23786957327017577,0.2379612821554075,1718.7848026409326,1715.9296561950734,0.23796333379349616,1.0,799.9654014384744,0.1148257060908201,1.3306704504585594,15566.440937382937,0.11485199253955626,8149.516368210456,0.22311930765975416,1.8845632941900556,24898.72053509293,0.29919950023655245,1.8877997196774248,6889.058561296137,0.09855329673555933,0.9889486128243585,0.9889486128243585,0.9862087972130427,0.9885056175396977,0.9885056175396977,0.9857177998022257,0.25204625693714217,0.8815788239190244,0.9338815679020109,0.565278951233398,0.9996896559928109,0.9996895554118344,0.9982261126673251,0.9997356292703005
7.0,0.0,0.3,0.0,25.128,1.46,591.72,1.0,0.0,0.6959788062186568,1.78577753,296.3762933,0.6883418754168972,0.6015787222119386,1.4563725569026587,1.4245865465931395,0.6015792280360048,1.0,36.69140146874102,22.719561891627084,1.2202030228294354,1220.2186091931737,22.719577461125184,1.3310082198584423,0.6306324563198404,3.795447323123125,2.072996139210407e7,21.879140971320087,2.6424721183998074,208.8079866914352,21.867503740494143,0.9585375865975917,0.9989193900189309,0.9585512608726448,0.9551604899613562,0.9990327322547627,0.9552247195562868,0.026329963966622127,-Inf,-15.297233192244907,-0.07424958550824257,0.9971458296354953,0.9971458009112044,0.9306527055795152,0.9308334497862402
8.0,0.0,0.33,0.0,30.060000000000002,1.46,520.8299999999999,1.0,0.0,0.7490274872416173,1.785777829,260.8859344,0.7408315456799708,0.6665389445373063,1.178728711596133,1.153074280815047,0.6665388227761859,1.0,34.60083758799534,26.88748661923695,1.2907177889754955,791.6564171136868,26.887487664207434,1.1666670022709709,0.6704454448389291,3.8731624475251154,2.800254784631888e7,26.415404449618766,1.7337829292203486,303.9977112973668,26.41557555692608,0.9493053994933953,0.9996665397284578,0.9493164724696626,0.946391536138178,0.9996977698029476,0.9464004723628826,0.07187036046380646,0.4433691716330657,-16.901437978813412,0.716363725122297,0.9992080029361108,0.9992080047513968,0.9585057483527061,0.9585047368601
10.0,0.0,0.42,0.0,7.5600000000000005,2.24,1098.9,1.0,0.0,0.9306355685044319,0.968082296,173.3656132,0.9198180852429675,0.9149033165485995,28.76815480726398,28.103253545521053,0.9149007822780535,1.0,135.65057259210946,10.152591439018819,1.2688278090313516,3436.867162564165,10.152613275481277,15.416685764189255,0.9301970368062032,2.8494583047846067,624449.7124745215,8.294312034000434,1.4814955109654322,2176.8124180669965,8.30260158550719,0.9940152922920164,0.9940152922920164,0.9975629870743532,0.9966577317420166,0.9966577317420166,0.9991008341525676,0.9658998560351756,-12.41269528273088,-22.37002243300713,-1.9004925459572384,0.9996652547586297,0.9996653122182848,0.9998166866807621,0.9998141639161185
